Student Number,Section,Age,Gender,Address,Parent's monthly income,Last School Attended(High School),Track,General Weighted Average(GWA) - Grade 11 and 12,Mathematics in the Modern World,Introduction to Computing,Fundamentals of Programming (C++),Purposive Communication,Intermediate Programming(Java),Discrete Mathematics,"Are you affiliated in any School Organization in the university? (example Computer Society, PASIGYAW, LUNDAYAN, Himig Chorale)",CONTINUE/STOP
20-00333,BSIT-2A,19,Male,PR,"19,041.00 - 38,080.00",Public,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00341,BSIT-2A,18,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00304,BSIT-2A,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,2.50 - 3.00,No,Continue
20-00390,BSIT-2A,18,Male,PR,"19,041.00 - 38,080.00",Private,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,2.49 - 2.00,No,Continue
19-00468,BSIT-2A,20,Female,PR,"below 9,520.00",Private,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
20-00348,BSIT-2A,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
20-00373,BSIT-2A,19,Female,PR,"19,041.00 - 38,080.00",Public,TVL,85 - 89,1.49 - 1.00,1.49 - 1.00,2.49 - 2.00,1.49 - 1.00,2.50 - 3.00,2.50 - 3.00,No,Continue
20-00335,BSIT-2A,18,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,No,Continue
20-00308,BSIT-2A,18,Male,PR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00699,,18,M,PR,"below 9,520.00",Private,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,below 3.00,below 3.00,No,Stop
20-00328,,18,F,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No,Stop
20-00360,,18,M,PR,"below 9,520.00",Public,TVL,81 - 84,below 3.00,below 3.00,below 3.00,2.50 - 3.00,2.50 - 3.00,below 3.00,No,Stop
20-00362,,18,M,PR,"below 9,520.00",Public,TVL,81 - 84,below 3.00,below 3.00,below 3.00,2.50 - 3.00,2.50 - 3.00,below 3.00,No,Stop
20-00376,,18,M,PR,"below 9,520.00",Private,TVL,85 - 89,below 3.00,2.50 - 3.00,below 3.00,2.50 - 3.00,below 3.00,2.50 - 3.00,No,Stop
20-00377,,18,F,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,below 3.00,2.50 - 3.00,No,Stop
20-00387,,18,M,PR,"below 9,520.00",Private,TVL,85 - 89,2.50 - 3.00,below 3.00,below 3.00,2.50 - 3.00,below 3.00,2.50 - 3.00,No,Stop
20-00392,,18,M,PR,"below 9,520.00",Public,TVL,85 - 89,below 3.00,2.50 - 3.00,below 3.00,below 3.00,below 3.00,2.50 - 3.00,No,Stop
20-00882,,18,M,NPR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,below 3.00,below 3.00,No,Stop
20-00351,BSIT-2B,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,81 - 84,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No,Continue
20-00874,BSIT-2B,20,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,No,Continue
20-00374,BSIT-2B,18,Female,NPR,"below 9,520.00",Public,STEM,90 - 95,1.99  - 1.50,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No,Continue
20-00346,BSIT-2B,18,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,Yes,Continue
20-00371,BSIT-2B,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00835,BSIT-2B,19,Female,NPR,"9,520.00 - 19,040.00",Private,TVL,85 - 89,1.99  - 1.50,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00315,BSIT-2B,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00379,BSIT-2B,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00339,BSIT-2B,18,Female,NPR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00319,BSIT-2B,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00375,BSIT-2B,19,Female,PR,"9,520.00 - 19,040.00",Private,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00393,BSIT-2B,19,Male,PR,"19,041.00 - 38,080.00",Private,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,No,Continue
20-00380,BSIT-2B,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,No,Continue
20-00877,BSIT-2B,20,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00355,BSIT-2B,19,Male,NPR,"9,520.00 - 19,040.00",Private,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No,Continue
20-00909,BSIT-2B,19,Female,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
20-00875,BSIT-2B,18,Female,PR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No,Continue
20-00880,BSIT-2B,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,No,Continue
20-00878,BSIT-2B,19,Male,PR,"below 9,520.00",Public,TVL,81 - 84,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00326,BSIT-2B,19,Female,NPR,"below 9,520.00",Private,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No,Continue
20-00358,BSIT-2B,19,Male,PR,"below 9,520.00",Public,TVL,81 - 84,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00395,BSIT-2B,18,Female,PR,"9,520.00 - 19,040.00",Private,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00876,BSIT-2B,18,Male,PR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No,Continue
20-00905,BSIT-2B,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,1.99  - 1.50,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00385,BSIT-2B,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No,Continue
20-00359,BSIT-2B,19,Female,PR,"below 9,520.00",Private,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00354,BSIT-2B,18,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
20-00340,BSIT-2B,18,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,2.49 - 2.00,Yes,Continue
20-00344,BSIT-2B,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,No,Continue
20-00350 ,BSIT-2B,18,Male,PR,"19,041.00 - 38,080.00",Public,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00910,BSIT-2B,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,No,Continue
20-00367,BSIT-2B,19,Male,PR,"9,520.00 - 19,040.00",Private,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
20-00372,BSIT-2B,20,Male,PR,"19,041.00 - 38,080.00",Private,TVL,85 - 89,1.99  - 1.50,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,Yes,Continue
20-00323,BSIT-2B,20,Male,PR,"below 9,520.00",Private,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00322,BSIT-2B,20,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,No,Continue
20-00838,BSIT-2B,19,Male,PR,"below 9,520.00",Public,TVL,96 and above,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,No,Continue
20-00349,BSIT-2B,20,Male,NPR,"below 9,520.00",Private,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00306,BSIT-2B,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,No,Continue
20-00332,BSIT-2B,20,Male,PR,"19,041.00 - 38,080.00",Public,TVL,85 - 89,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00879,BSIT-2B,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,No,Continue
19-01112,BSIT-2B,19,Male,PR,"below 9,520.00",Public,TVL,81 - 84,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00329,BSIT-2C,19,Male,PR,"19,041.00 - 38,080.00",Public,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00331,BSIT-2C,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00840,BSIT-2C,18,Female,PR,"below 9,520.00",Public,TVL,85 - 89,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
20-00347,BSIT-2C,19,Male,PR,"below 9,520.00",Public,TVL,96 and above,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,No,Continue
20-00317,BSIT-2C,20,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00368,BSIT-2C,18,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,Yes,Continue
20-00881,BSIT-2C,20,Male,PR,"below 9,520.00",Public,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,2.50 - 3.00,No,Continue
19-00419,BSIT-2C,20,Male,PR,"below 9,520.00",Public,TVL,81 - 84,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
20-00314,BSIT-2C,19,Male,NPR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.49 - 1.00,2.49 - 2.00,No,Continue
20-00885,BSIT-2C,20,Male,PR,"below 9,520.00",Public,TVL,81 - 84,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,Yes,Continue
20-00325,BSIT-2C,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,No,Continue
20-00320,BSIT-2C,18,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,Yes,Continue
20-00915,BSIT-2C,19,Female,PR,"below 9,520.00",Public,TVL,81 - 84,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00884,BSIT-2C,19,Male,PR,"below 9,520.00",Public,TVL,81 - 84,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00883,BSIT-2C,18,Female,PR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,No,Continue
20-00897,BSIT-2C,18,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.50 - 3.00,No,Continue
20-00298,BSIT-2C,18,Female,PR,"below 9,520.00",Public,TVL,85 - 89,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00860,BSIT-2C,18,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
20-00886,BSIT-2C,19,Female,PR,"9,520.00 - 19,040.00",Private,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,No,Continue
20-00386,BSIT-2C,19,Male,NPR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00334,BSIT-2C,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00318,BSIT-2C,19,Male,NPR,"below 9,520.00",Public,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00396,BSIT-2C,20,Male,PR,"below 9,520.00",Public,TVL,81 - 84,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00908,BSIT-2C,18,Male,PR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
20-00345,BSIT-2C,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
20-00388,BSIT-2C,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00364,BSIT-2C,18,Male,PR,"below 9,520.00",Public,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00901,BSIT-2C,21,Female,PR,"below 9,520.00",Private,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,No,Continue
20-00353,BSIT-2C,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,No,Continue
20-00898,BSIT-2C,18,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00391,BSIT-2C,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,No,Continue
